n 141548, BTC size 141548
40954.28611, 0
40954.32778, 0
40954.36944, 0
40954.39722, 0
40954.41111, 0
40954.45278, 0
40954.49444, 0
40954.53611, 0.0003
40954.57778, 0.0001
40954.61944, 0.0001
40954.66111, 0.0004
40954.70278, 0
40954.74444, 0
40954.78611, 0
40954.82778, 0
40954.86944, 0
40954.91111, 0
40954.95278, 0
40954.99444, 0
40955.02986, 0
40955.03611, 0
40955.04167, 0
40955.05139, 0
40955.05556, 0
40955.07778, 0
40955.08611, 0
40955.09514, 0
40955.09861, 0
40955.11181, 0
40955.11944, 0
40955.14375, 0
40955.16111, 0
40955.20278, 0
40955.22708, 0
40955.23194, 0
40955.24444, 0
40955.25347, 0
40955.25972, 0
40955.27153, 0
40955.27847, 0
40955.28333, 0
40955.28611, 0
40955.29653, 0
40955.30972, 0
40955.32778, 0
40955.35764, 0
40955.36944, 0
40955.41111, 0
40955.45278, 0
40955.49444, 0
40955.53611, 0
40955.57778, 0
40955.61944, 0
40955.66111, 0
40955.70278, 0
40955.74444, 0
40955.78611, 0
40955.82778, 0
40955.86944, 0
40955.91111, 0
40955.95278, 0
40955.99444, 0
40956.03611, 0
40956.07778, 0
40956.11944, 0
40956.16111, 0
40956.20278, 0
40956.24444, 0
40956.28611, 0
40956.32778, 0
40956.36944, 0
40956.41111, 0
40956.45278, 0
40956.49444, 0
40956.53611, 0
40956.57778, 0
40956.61944, 0
40956.66111, 0
40956.70278, 0
40956.74444, 0
40956.78611, 0
40956.82778, 0
40956.86944, 0
40956.91111, 0
40956.95278, 0
40956.96042, 0
40956.99444, 0
40957.03611, 0
40957.07778, 0
40957.11944, 0
40957.16111, 0
40957.20278, 0
40957.24444, 0
40957.28611, 0
40957.32778, 0
40957.36944, 0
40957.41111, 0
40957.45278, 0
40957.49444, 0
40957.53611, 0
40957.57778, 0
40957.61944, 0
40957.66111, 0
40957.70278, 0
40957.74444, 0
40957.78611, 0
40957.82778, 0
40957.84306, 0
40957.86944, 0.0002
40957.87361, 0.0001
40957.90069, 0.0006
40957.91111, 0.0006
40957.92083, 0
40957.95278, 0
40957.97986, 0
40957.99444, 0
40958.03611, 0
40958.07778, 0
40958.11944, 0
40958.16111, 0
40958.20278, 0
40958.24444, 0
40958.28611, 0
40958.32778, 0
40958.36944, 0
40958.41111, 0
40958.45278, 0
40958.49444, 0
40958.53611, 0
40958.57778, 0
40958.61944, 0
40958.66111, 0
40958.70278, 0
40958.74444, 0
40958.78611, 0
40958.82778, 0
40958.86944, 0
40958.91111, 0
